type,id,attributes.adjusted_odds,attributes.board_time,attributes.custom_image,attributes.description,attributes.discount_percentage,attributes.end_time,attributes.flash_sale_line_score,attributes.game_id,attributes.is_promo,attributes.line_score,attributes.odds_type,attributes.projection_type,attributes.rank,attributes.refundable,attributes.start_time,attributes.stat_type,attributes.status,attributes.tv_channel,attributes.updated_at,relationships.duration.data,relationships.league.data.type,relationships.league.data.id,relationships.new_player.data.type,relationships.new_player.data.id,relationships.projection_type.data.type,relationships.projection_type.data.id,relationships.stat_type.data.type,relationships.stat_type.data.id,attributes.hr_20,attributes.today,relationships.duration.data.type,relationships.duration.data.id
projection,2745798,True,2024-07-01T18:00:00-04:00,,ATL,,,,83850bee-ba6a-445e-9465-9e22214db61e,False,1.5,goblin,Single Stat,427,True,2024-07-14T18:00:00-04:00,Assists,pre_game,,2024-07-14T08:09:55-04:00,,league,3,new_player,196429,projection_type,2,stat_type,20,True,True,,
projection,2745799,True,2024-07-01T18:00:00-04:00,,ATL,,,,83850bee-ba6a-445e-9465-9e22214db61e,False,5.5,goblin,Single Stat,427,True,2024-07-14T18:00:00-04:00,Rebounds,pre_game,,2024-07-14T08:09:54-04:00,,league,3,new_player,196429,projection_type,2,stat_type,22,True,True,,
projection,2745796,True,2024-07-01T18:00:00-04:00,,ATL,,,,83850bee-ba6a-445e-9465-9e22214db61e,False,14.5,goblin,Single Stat,427,True,2024-07-14T18:00:00-04:00,Points,pre_game,,2024-07-14T00:46:22-04:00,,league,3,new_player,196429,projection_type,2,stat_type,19,True,True,,
projection,2745797,True,2024-07-01T18:00:00-04:00,,ATL,,,,83850bee-ba6a-445e-9465-9e22214db61e,False,19.5,demon,Single Stat,427,True,2024-07-14T18:00:00-04:00,Points,pre_game,,2024-07-14T00:44:36-04:00,,league,3,new_player,196429,projection_type,2,stat_type,19,True,True,,
projection,2745800,True,2024-07-01T18:00:00-04:00,,ATL,,,,83850bee-ba6a-445e-9465-9e22214db61e,False,9.5,demon,Single Stat,427,True,2024-07-14T18:00:00-04:00,Rebounds,pre_game,,2024-07-14T01:04:48-04:00,,league,3,new_player,196429,projection_type,2,stat_type,22,True,True,,
projection,2745788,True,2024-07-01T18:00:00-04:00,,SEA,,,,83850bee-ba6a-445e-9465-9e22214db61e,False,9.5,demon,Single Stat,428,True,2024-07-14T18:00:00-04:00,Rebounds,pre_game,,2024-07-14T00:43:01-04:00,,league,3,new_player,197035,projection_type,2,stat_type,22,True,True,,
projection,2745789,True,2024-07-01T18:00:00-04:00,,SEA,,,,83850bee-ba6a-445e-9465-9e22214db61e,False,7.5,goblin,Single Stat,428,True,2024-07-14T18:00:00-04:00,Rebounds,pre_game,,2024-07-14T08:09:53-04:00,,league,3,new_player,197035,projection_type,2,stat_type,22,True,True,,
projection,2745793,True,2024-07-01T18:00:00-04:00,,ATL,,,,83850bee-ba6a-445e-9465-9e22214db61e,False,0.5,goblin,Single Stat,429,True,2024-07-14T18:00:00-04:00,3-PT Made,pre_game,,2024-07-14T09:52:14-04:00,,league,3,new_player,196430,projection_type,2,stat_type,31,True,True,,
projection,2745792,True,2024-07-01T18:00:00-04:00,,ATL,,,,83850bee-ba6a-445e-9465-9e22214db61e,False,14.5,demon,Single Stat,429,True,2024-07-14T18:00:00-04:00,Points,pre_game,,2024-07-14T00:44:02-04:00,,league,3,new_player,196430,projection_type,2,stat_type,19,True,True,,
projection,2745791,True,2024-07-01T18:00:00-04:00,,ATL,,,,83850bee-ba6a-445e-9465-9e22214db61e,False,9.5,goblin,Single Stat,429,True,2024-07-14T18:00:00-04:00,Points,pre_game,,2024-07-14T00:46:30-04:00,,league,3,new_player,196430,projection_type,2,stat_type,19,True,True,,
projection,2745794,True,2024-07-01T18:00:00-04:00,,ATL,,,,83850bee-ba6a-445e-9465-9e22214db61e,False,1.5,demon,Single Stat,429,True,2024-07-14T18:00:00-04:00,3-PT Made,pre_game,,2024-07-14T00:44:12-04:00,,league,3,new_player,196430,projection_type,2,stat_type,31,True,True,,
projection,2745795,True,2024-07-01T18:00:00-04:00,,ATL,,,,83850bee-ba6a-445e-9465-9e22214db61e,False,9.5,demon,Single Stat,429,True,2024-07-14T18:00:00-04:00,Assists,pre_game,,2024-07-14T00:45:44-04:00,,league,3,new_player,196430,projection_type,2,stat_type,20,True,True,,
projection,2745809,True,2024-07-01T18:00:00-04:00,,ATL,,,,83850bee-ba6a-445e-9465-9e22214db61e,False,7.5,goblin,Single Stat,431,True,2024-07-14T18:00:00-04:00,Rebounds,pre_game,,2024-07-14T08:09:53-04:00,,league,3,new_player,64394,projection_type,2,stat_type,22,True,True,,
projection,2745808,True,2024-07-01T18:00:00-04:00,,ATL,,,,83850bee-ba6a-445e-9465-9e22214db61e,False,9.5,goblin,Single Stat,431,True,2024-07-14T18:00:00-04:00,Points,pre_game,,2024-07-14T00:45:35-04:00,,league,3,new_player,64394,projection_type,2,stat_type,19,True,True,,
projection,2745810,True,2024-07-01T18:00:00-04:00,,ATL,,,,83850bee-ba6a-445e-9465-9e22214db61e,False,9.5,demon,Single Stat,431,True,2024-07-14T18:00:00-04:00,Rebounds,pre_game,,2024-07-14T00:46:41-04:00,,league,3,new_player,64394,projection_type,2,stat_type,22,True,True,,
projection,2748413,True,2024-07-14T09:18:00-04:00,,TOR,,,,31d5f726-cbc8-4c41-84d1-6a0d3dfd8118,False,5.5,demon,Single Stat,513,True,2024-07-14T16:10:00-04:00,Hits Allowed,pre_game,,2024-07-14T09:43:12-04:00,,league,2,new_player,190207,projection_type,2,stat_type,232,True,True,,
projection,2748414,True,2024-07-14T09:18:00-04:00,,SD,,,,fbca5ca6-5ff9-4c98-b4ba-dad0648b085c,False,4.5,goblin,Single Stat,514,True,2024-07-14T16:10:00-04:00,Hits Allowed,pre_game,,2024-07-14T09:31:36-04:00,,league,2,new_player,189310,projection_type,2,stat_type,232,True,True,,
projection,2748415,True,2024-07-14T09:18:00-04:00,,ATL,,,,fbca5ca6-5ff9-4c98-b4ba-dad0648b085c,False,5.5,demon,Single Stat,515,True,2024-07-14T16:10:00-04:00,Hits Allowed,pre_game,,2024-07-14T09:25:32-04:00,,league,2,new_player,195047,projection_type,2,stat_type,232,True,True,,
