,type,id,attributes.adjusted_odds,attributes.board_time,attributes.custom_image,attributes.description,attributes.end_time,attributes.flash_sale_line_score,attributes.game_id,attributes.is_promo,attributes.line_score,attributes.odds_type,attributes.projection_type,attributes.rank,attributes.refundable,attributes.start_time,attributes.stat_type,attributes.status,attributes.tv_channel,attributes.updated_at,relationships.duration.data,relationships.league.data.type,relationships.league.data.id,relationships.new_player.data.type,relationships.new_player.data.id,relationships.projection_type.data.type,relationships.projection_type.data.id,relationships.stat_type.data.type,relationships.stat_type.data.id,attributes.discount_percentage,attributes.hr_20,attributes.today,relationships.duration.data.type,relationships.duration.data.id
807,projection,2115066,,2024-03-12T12:40:00-04:00,,CLE,,,dsfgdfsag,False,725.5,standard,Single Stat,80,True,2024-09-05T20:00:00-04:00,Receiving Yards,pre_game,,2024-06-17T13:31:09-04:00,,league,163,new_player,38717,projection_type,2,stat_type,17,,,,,
808,projection,2748925,,2024-07-08T19:16:00-04:00,,Emiliana Arango,,,TNS_game_DjAumzigrgWcJ9UOKBLTNfKR,False,1.5,standard,Single Stat,81,True,2024-07-15T04:00:00-04:00,Aces,pre_game,,2024-07-14T13:44:01-04:00,,league,5,new_player,202554,projection_type,2,stat_type,61,,True,True,,
809,projection,2746260,True,2024-07-14T09:00:00-04:00,,LAA,,,bd8c20fd-5b96-4b5a-b70e-c073ad239190,False,0.5,demon,Single Stat,81,True,2024-07-14T16:07:00-04:00,Doubles,pre_game,,2024-07-14T11:43:41-04:00,,league,2,new_player,67566,projection_type,2,stat_type,639,,True,True,,
810,projection,2740358,,2024-07-12T17:18:00-04:00,,Regional Finals (NA),,,Regional Finals (NA)45487.8194444444,False,3.5,standard,Single Stat,81,True,2024-07-14T19:40:00-04:00,MAPS 4-6 Kills,pre_game,https://www.twitch.tv/playapex,2024-07-12T21:47:29-04:00,,league,268,new_player,184961,projection_type,2,stat_type,597,,True,True,,
811,projection,2748943,,2024-07-08T19:16:00-04:00,,Emiliana Arango,,,TNS_game_DjAumzigrgWcJ9UOKBLTNfKR,False,4.5,standard,Single Stat,81,True,2024-07-15T04:00:00-04:00,Break Points Won,pre_game,,2024-07-14T15:28:30-04:00,,league,5,new_player,202554,projection_type,2,stat_type,103,,True,True,,
812,projection,2740296,,2024-07-12T17:18:00-04:00,,Regional Finals (NA),,,Regional Finals (NA)45487.75,False,4.0,standard,Single Stat,81,True,2024-07-14T18:00:00-04:00,MAPS 1-3 Kills,pre_game,https://www.twitch.tv/playapex,2024-07-12T21:47:28-04:00,,league,268,new_player,184961,projection_type,2,stat_type,331,,True,True,,
813,projection,2748914,,2024-07-08T19:16:00-04:00,,Emiliana Arango,,,TNS_game_DjAumzigrgWcJ9UOKBLTNfKR,False,16.5,standard,Fantasy Score,81,True,2024-07-15T04:00:00-04:00,Fantasy Score,pre_game,,2024-07-14T13:44:01-04:00,,league,5,new_player,202554,projection_type,1,stat_type,14,,True,True,,
814,projection,2748937,,2024-07-08T19:16:00-04:00,,Emiliana Arango,,,TNS_game_DjAumzigrgWcJ9UOKBLTNfKR,False,21.5,standard,Single Stat,81,True,2024-07-15T04:00:00-04:00,Total Games,pre_game,,2024-07-14T13:44:01-04:00,,league,5,new_player,202554,projection_type,2,stat_type,62,,True,True,,
815,projection,2740297,,2024-07-12T17:18:00-04:00,,Regional Finals (NA),,,Regional Finals (NA)45487.75,False,3.0,standard,Single Stat,82,True,2024-07-14T18:00:00-04:00,MAPS 1-3 Kills,pre_game,https://www.twitch.tv/playapex,2024-07-12T21:47:31-04:00,,league,268,new_player,184960,projection_type,2,stat_type,331,,True,True,,
816,projection,2748915,,2024-07-08T19:16:00-04:00,,Sara Errani,,,TNS_game_LPpFTv2b0Em3VHJ8faBgHT8P,False,22.0,standard,Fantasy Score,82,True,2024-07-15T04:00:00-04:00,Fantasy Score,pre_game,,2024-07-14T13:44:02-04:00,,league,5,new_player,202555,projection_type,1,stat_type,14,,True,True,,
817,projection,2748926,,2024-07-08T19:16:00-04:00,,Sara Errani,,,TNS_game_LPpFTv2b0Em3VHJ8faBgHT8P,False,3.5,standard,Single Stat,82,True,2024-07-15T04:00:00-04:00,Aces,pre_game,,2024-07-14T13:44:01-04:00,,league,5,new_player,202555,projection_type,2,stat_type,61,,True,True,,
818,projection,2746261,True,2024-07-14T09:00:00-04:00,,TOR,,,31d5f726-cbc8-4c41-84d1-6a0d3dfd8118,False,0.5,demon,Single Stat,82,True,2024-07-14T16:10:00-04:00,Doubles,pre_game,,2024-07-14T11:03:28-04:00,,league,2,new_player,192364,projection_type,2,stat_type,639,,True,True,,
819,projection,2740359,,2024-07-12T17:18:00-04:00,,Regional Finals (NA),,,Regional Finals (NA)45487.8194444444,False,3.0,standard,Single Stat,82,True,2024-07-14T19:40:00-04:00,MAPS 4-6 Kills,pre_game,https://www.twitch.tv/playapex,2024-07-12T21:47:32-04:00,,league,268,new_player,184960,projection_type,2,stat_type,597,,True,True,,
820,projection,2748938,,2024-07-08T19:16:00-04:00,,Sara Errani,,,TNS_game_LPpFTv2b0Em3VHJ8faBgHT8P,False,19.5,standard,Single Stat,82,True,2024-07-15T04:00:00-04:00,Total Games,pre_game,,2024-07-14T13:44:02-04:00,,league,5,new_player,202555,projection_type,2,stat_type,62,,True,True,,
821,projection,2740360,,2024-07-12T17:18:00-04:00,,Regional Finals (NA),,,Regional Finals (NA)45487.8194444444,False,3.5,standard,Single Stat,83,True,2024-07-14T19:40:00-04:00,MAPS 4-6 Kills,pre_game,https://www.twitch.tv/playapex,2024-07-12T21:48:06-04:00,,league,268,new_player,192461,projection_type,2,stat_type,597,,True,True,,
